spot_id,spot_sector_id,spot_type_id,spot_settlement,spot_municipality,spot_state,spot_region,spot_corridor,spot_latitude,spot_longitude,spot_area_in_sqm,spot_price_sqm_mxn_rent,spot_price_total_mxn_rent,spot_price_sqm_mxn_sale,spot_price_total_mxn_sale,spot_modality,uuiid,spot_created_date
25564,13,2,POBLADO COMPUERTAS,Mexicali,Baja California,North,,32.6534234,-115.3740755,6800,400,2720000,,,Rent,5,2024-02-29
28099,15,1,REAL DEL RIO,Mexicali,Baja California,North,,32.6478699,-115.5325106,3637,100,363700,10000,36370000,Rent & Sale,13934,2024-07-04
27713,11,1,JARDINES DEL VALLE,Mexicali,Baja California,North,,32.64171643,-115.4484834,50,400,20000,,,Rent,15584,2024-06-12
29738,9,1,CALLES,Mexicali,Baja California,North,,32.631594,-115.3830156,7795,120,935400,,,Rent,3388,2024-09-11
28102,9,2,TECNOLOGICO DE BAJA CALIFORNIA,Mexicali,Baja California,North,,32.6195307,-115.399344,2000,120,240000,,,Rent,13934,2024-07-04
29065,9,2,CAMINO VIEJO,Mexicali,Baja California,North,,32.6128203,-115.4933635,59,,,33898.30508,2000000,Sale,17243,2024-08-22
28103,9,1,VILLAS DEL COLORADO,Mexicali,Baja California,North,,32.5938737,-115.3670099,1689,180,304020,,,Rent,13934,2024-07-04
27541,9,2,VILLAS DEL COLORADO,Mexicali,Baja California,North,,32.59324166,-115.3662773,3867,90,348030,,,Rent,15197,2024-05-30
29351,9,1,VILLAS DEL COLORADO,Mexicali,Baja California,North,,32.592514,-115.3682031,1689,180,304020,,,Rent,13934,2024-08-29
28488,15,1,LAS TORRES,Tijuana,Baja California,North,,32.5497873,-116.8921154,300,76.66666667,23000,,,Rent,16771,2024-07-20
26586,9,2,GARITA DE OTAY,Tijuana,Baja California,North,,32.5462766,-116.9455033,180000,,,3740,673200000,Sale,13430,2024-04-08
